timestamp,service,metric,value
2026-07-11T12:00:00Z,catalogservice,cache_hit_ratio,0.9719
2026-07-11T12:00:00Z,productdb,db_queries_per_second,154.7
2026-07-11T12:00:00Z,productdb,db_cpu_utilization,23.5
2026-07-11T12:00:00Z,productdb,db_query_duration_p99_ms,9.3
2026-07-11T12:00:00Z,catalogservice,http_server_duration_p99_ms,65.4
2026-07-11T12:00:00Z,frontend,error_rate_5xx_ratio,0.0035
2026-07-11T12:01:00Z,catalogservice,cache_hit_ratio,0.9657
2026-07-11T12:01:00Z,productdb,db_queries_per_second,164.8
2026-07-11T12:01:00Z,productdb,db_cpu_utilization,24.3
2026-07-11T12:01:00Z,productdb,db_query_duration_p99_ms,9.6
2026-07-11T12:01:00Z,catalogservice,http_server_duration_p99_ms,65.4
2026-07-11T12:01:00Z,frontend,error_rate_5xx_ratio,0.0032
2026-07-11T12:02:00Z,catalogservice,cache_hit_ratio,0.979
2026-07-11T12:02:00Z,productdb,db_queries_per_second,150.9
2026-07-11T12:02:00Z,productdb,db_cpu_utilization,22.9
2026-07-11T12:02:00Z,productdb,db_query_duration_p99_ms,9.8
2026-07-11T12:02:00Z,catalogservice,http_server_duration_p99_ms,61.8
2026-07-11T12:02:00Z,frontend,error_rate_5xx_ratio,0.0033
2026-07-11T12:03:00Z,catalogservice,cache_hit_ratio,0.9742
2026-07-11T12:03:00Z,productdb,db_queries_per_second,153.4
2026-07-11T12:03:00Z,productdb,db_cpu_utilization,23.3
2026-07-11T12:03:00Z,productdb,db_query_duration_p99_ms,9.6
2026-07-11T12:03:00Z,catalogservice,http_server_duration_p99_ms,60.8
2026-07-11T12:03:00Z,frontend,error_rate_5xx_ratio,0.0037
2026-07-11T12:04:00Z,catalogservice,cache_hit_ratio,0.9795
2026-07-11T12:04:00Z,productdb,db_queries_per_second,145.7
2026-07-11T12:04:00Z,productdb,db_cpu_utilization,22.3
2026-07-11T12:04:00Z,productdb,db_query_duration_p99_ms,9.7
2026-07-11T12:04:00Z,catalogservice,http_server_duration_p99_ms,64.7
