timestamp,service,metric,value
2026-06-18T14:00:00Z,checkoutservice,http_server_duration_p99_ms,227.5
2026-06-18T14:00:00Z,checkoutservice,db_query_count_per_request,3.9
2026-06-18T14:00:00Z,cartservice,http_server_duration_p99_ms,186.5
2026-06-18T14:00:00Z,frontend,http_server_duration_p99_ms,233.2
2026-06-18T14:00:00Z,productcatalogservice,http_server_duration_p99_ms,270.1
2026-06-18T14:00:00Z,productcatalogservice,requests_per_sec,861.6
2026-06-18T14:01:00Z,checkoutservice,http_server_duration_p99_ms,190.6
2026-06-18T14:01:00Z,checkoutservice,db_query_count_per_request,2.2
2026-06-18T14:01:00Z,cartservice,http_server_duration_p99_ms,190.1
2026-06-18T14:01:00Z,frontend,http_server_duration_p99_ms,211.9
2026-06-18T14:01:00Z,productcatalogservice,http_server_duration_p99_ms,269.7
2026-06-18T14:01:00Z,productcatalogservice,requests_per_sec,873.6
2026-06-18T14:02:00Z,checkoutservice,http_server_duration_p99_ms,234.4
2026-06-18T14:02:00Z,checkoutservice,db_query_count_per_request,2.7
2026-06-18T14:02:00Z,cartservice,http_server_duration_p99_ms,166.7
2026-06-18T14:02:00Z,frontend,http_server_duration_p99_ms,242.6
2026-06-18T14:02:00Z,productcatalogservice,http_server_duration_p99_ms,283.7
2026-06-18T14:02:00Z,productcatalogservice,requests_per_sec,855.6
2026-06-18T14:03:00Z,checkoutservice,http_server_duration_p99_ms,213.5
2026-06-18T14:03:00Z,checkoutservice,db_query_count_per_request,4.0
2026-06-18T14:03:00Z,cartservice,http_server_duration_p99_ms,190.3
2026-06-18T14:03:00Z,frontend,http_server_duration_p99_ms,254.5
2026-06-18T14:03:00Z,productcatalogservice,http_server_duration_p99_ms,247.1
2026-06-18T14:03:00Z,productcatalogservice,requests_per_sec,905.4
2026-06-18T14:04:00Z,checkoutservice,http_server_duration_p99_ms,222.9
2026-06-18T14:04:00Z,checkoutservice,db_query_count_per_request,2.1
2026-06-18T14:04:00Z,cartservice,http_server_duration_p99_ms,164.4
2026-06-18T14:04:00Z,frontend,http_server_duration_p99_ms,217.3
2026-06-18T14:04:00Z,productcatalogservice,http_server_duration_p99_ms,237.5
2026-06-18T14:04:00Z,productcatalogservice,requests_per_sec,886.5
2026-06-18T14:05:00Z,checkoutservice,http_server_duration_p99_ms,236.8
2026-06-18T14:05:00Z,checkoutservice,db_query_count_per_request,3.3
2026-06-18T14:05:00Z,cartservice,http_server_duration_p99_ms,193.0
2026-06-18T14:05:00Z,frontend,http_server_duration_p99_ms,250.6
2026-06-18T14:05:00Z,productcatalogservice,http_server_duration_p99_ms,249.8
2026-06-18T14:05:00Z,productcatalogservice,requests_per_sec,884.2
2026-06-18T14:06:00Z,checkoutservice,http_server_duration_p99_ms,222.5
2026-06-18T14:06:00Z,checkoutservice,db_query_count_per_request,2.5
2026-06-18T14:06:00Z,cartservice,http_server_duration_p99_ms,173.9
2026-06-18T14:06:00Z,frontend,http_server_duration_p99_ms,212.8
2026-06-18T14:06:00Z,productcatalogservice,http_server_duration_p99_ms,233.6
2026-06-18T14:06:00Z,productcatalogservice,requests_per_sec,837.1
2026-06-18T14:07:00Z,checkoutservice,http_server_duration_p99_ms,230.5
2026-06-18T14:07:00Z,checkoutservice,db_query_count_per_request,3.0
2026-06-18T14:07:00Z,cartservice,http_server_duration_p99_ms,182.4
2026-06-18T14:07:00Z,frontend,http_server_duration_p99_ms,235.8
2026-06-18T14:07:00Z,productcatalogservice,http_server_duration_p99_ms,268.0
2026-06-18T14:07:00Z,productcatalogservice,requests_per_sec,853.6
2026-06-18T14:08:00Z,checkoutservice,http_server_duration_p99_ms,180.6
2026-06-18T14:08:00Z,checkoutservice,db_query_count_per_request,3.0
2026-06-18T14:08:00Z,cartservice,http_server_duration_p99_ms,182.4
2026-06-18T14:08:00Z,frontend,http_server_duration_p99_ms,252.2
2026-06-18T14:08:00Z,productcatalogservice,http_server_duration_p99_ms,232.0
2026-06-18T14:08:00Z,productcatalogservice,requests_per_sec,885.4
2026-06-18T14:09:00Z,checkoutservice,http_server_duration_p99_ms,202.1
2026-06-18T14:09:00Z,checkoutservice,db_query_count_per_request,2.7
2026-06-18T14:09:00Z,cartservice,http_server_duration_p99_ms,181.7
2026-06-18T14:09:00Z,frontend,http_server_duration_p99_ms,251.8
2026-06-18T14:09:00Z,productcatalogservice,http_server_duration_p99_ms,273.2
2026-06-18T14:09:00Z,productcatalogservice,requests_per_sec,843.7
2026-06-18T14:10:00Z,checkoutservice,http_server_duration_p99_ms,202.7
2026-06-18T14:10:00Z,checkoutservice,db_query_count_per_request,2.9
2026-06-18T14:10:00Z,cartservice,http_server_duration_p99_ms,191.1
2026-06-18T14:10:00Z,frontend,http_server_duration_p99_ms,235.8
2026-06-18T14:10:00Z,productcatalogservice,http_server_duration_p99_ms,280.3
2026-06-18T14:10:00Z,productcatalogservice,requests_per_sec,972.3
2026-06-18T14:11:00Z,checkoutservice,http_server_duration_p99_ms,222.6
2026-06-18T14:11:00Z,checkoutservice,db_query_count_per_request,2.3
2026-06-18T14:11:00Z,cartservice,http_server_duration_p99_ms,172.1
2026-06-18T14:11:00Z,frontend,http_server_duration_p99_ms,246.8
2026-06-18T14:11:00Z,productcatalogservice,http_server_duration_p99_ms,246.9
2026-06-18T14:11:00Z,productcatalogservice,requests_per_sec,904.8
