timestamp,service,metric,value
2026-06-20T11:00:00Z,mediaservice,s3_request_errors_5xx_ratio,0.002
2026-06-20T11:00:00Z,mediaservice,s3_request_duration_p99_ms,104.1
2026-06-20T11:00:00Z,mediaservice,http_server_duration_p99_ms,148.1
2026-06-20T11:00:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0015
2026-06-20T11:00:00Z,catalogservice,http_server_duration_p99_ms,93.2
2026-06-20T11:00:00Z,frontend,error_rate_5xx_ratio,0.0056
2026-06-20T11:00:00Z,checkoutservice,http_server_duration_p99_ms,233.5
2026-06-20T11:01:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0024
2026-06-20T11:01:00Z,mediaservice,s3_request_duration_p99_ms,108.9
2026-06-20T11:01:00Z,mediaservice,http_server_duration_p99_ms,136.1
2026-06-20T11:01:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0019
2026-06-20T11:01:00Z,catalogservice,http_server_duration_p99_ms,87.7
2026-06-20T11:01:00Z,frontend,error_rate_5xx_ratio,0.0052
2026-06-20T11:01:00Z,checkoutservice,http_server_duration_p99_ms,221.5
2026-06-20T11:02:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0019
2026-06-20T11:02:00Z,mediaservice,s3_request_duration_p99_ms,102.4
2026-06-20T11:02:00Z,mediaservice,http_server_duration_p99_ms,144.1
2026-06-20T11:02:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0011
2026-06-20T11:02:00Z,catalogservice,http_server_duration_p99_ms,99.8
2026-06-20T11:02:00Z,frontend,error_rate_5xx_ratio,0.0043
2026-06-20T11:02:00Z,checkoutservice,http_server_duration_p99_ms,221.6
2026-06-20T11:03:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0029
2026-06-20T11:03:00Z,mediaservice,s3_request_duration_p99_ms,118.0
2026-06-20T11:03:00Z,mediaservice,http_server_duration_p99_ms,151.8
2026-06-20T11:03:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0013
2026-06-20T11:03:00Z,catalogservice,http_server_duration_p99_ms,98.0
2026-06-20T11:03:00Z,frontend,error_rate_5xx_ratio,0.0057
2026-06-20T11:03:00Z,checkoutservice,http_server_duration_p99_ms,209.5
2026-06-20T11:04:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0018
2026-06-20T11:04:00Z,mediaservice,s3_request_duration_p99_ms,124.0
2026-06-20T11:04:00Z,mediaservice,http_server_duration_p99_ms,140.8
2026-06-20T11:04:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0028
2026-06-20T11:04:00Z,catalogservice,http_server_duration_p99_ms,107.4
2026-06-20T11:04:00Z,frontend,error_rate_5xx_ratio,0.0049
2026-06-20T11:04:00Z,checkoutservice,http_server_duration_p99_ms,192.5
2026-06-20T11:05:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0021
2026-06-20T11:05:00Z,mediaservice,s3_request_duration_p99_ms,132.6
2026-06-20T11:05:00Z,mediaservice,http_server_duration_p99_ms,138.1
2026-06-20T11:05:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0012
2026-06-20T11:05:00Z,catalogservice,http_server_duration_p99_ms,94.2
2026-06-20T11:05:00Z,frontend,error_rate_5xx_ratio,0.0032
2026-06-20T11:05:00Z,checkoutservice,http_server_duration_p99_ms,226.3
2026-06-20T11:06:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0026
2026-06-20T11:06:00Z,mediaservice,s3_request_duration_p99_ms,99.7
2026-06-20T11:06:00Z,mediaservice,http_server_duration_p99_ms,136.5
2026-06-20T11:06:00Z,catalogservice,s3_request_errors_5xx_ratio,0.002
2026-06-20T11:06:00Z,catalogservice,http_server_duration_p99_ms,106.9
2026-06-20T11:06:00Z,frontend,error_rate_5xx_ratio,0.0033
2026-06-20T11:06:00Z,checkoutservice,http_server_duration_p99_ms,186.2
2026-06-20T11:07:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0025
2026-06-20T11:07:00Z,mediaservice,s3_request_duration_p99_ms,110.1
2026-06-20T11:07:00Z,mediaservice,http_server_duration_p99_ms,146.0
2026-06-20T11:07:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0028
2026-06-20T11:07:00Z,catalogservice,http_server_duration_p99_ms,86.4
2026-06-20T11:07:00Z,frontend,error_rate_5xx_ratio,0.0051
2026-06-20T11:07:00Z,checkoutservice,http_server_duration_p99_ms,234.8
2026-06-20T11:08:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0025
2026-06-20T11:08:00Z,mediaservice,s3_request_duration_p99_ms,102.4
2026-06-20T11:08:00Z,mediaservice,http_server_duration_p99_ms,149.7
2026-06-20T11:08:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0017
2026-06-20T11:08:00Z,catalogservice,http_server_duration_p99_ms,106.9
2026-06-20T11:08:00Z,frontend,error_rate_5xx_ratio,0.0053
2026-06-20T11:08:00Z,checkoutservice,http_server_duration_p99_ms,229.2
2026-06-20T11:09:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0013
2026-06-20T11:09:00Z,mediaservice,s3_request_duration_p99_ms,104.3
2026-06-20T11:09:00Z,mediaservice,http_server_duration_p99_ms,124.9
2026-06-20T11:09:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0016
2026-06-20T11:09:00Z,catalogservice,http_server_duration_p99_ms,91.7
2026-06-20T11:09:00Z,frontend,error_rate_5xx_ratio,0.0031
2026-06-20T11:09:00Z,checkoutservice,http_server_duration_p99_ms,212.0
2026-06-20T11:10:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0029
2026-06-20T11:10:00Z,mediaservice,s3_request_duration_p99_ms,113.9
2026-06-20T11:10:00Z,mediaservice,http_server_duration_p99_ms,130.6
2026-06-20T11:10:00Z,catalogservice,s3_request_errors_5xx_ratio,0.0026
2026-06-20T11:10:00Z,catalogservice,http_server_duration_p99_ms,87.6
2026-06-20T11:10:00Z,frontend,error_rate_5xx_ratio,0.0032
2026-06-20T11:10:00Z,checkoutservice,http_server_duration_p99_ms,212.1
2026-06-20T11:11:00Z,mediaservice,s3_request_errors_5xx_ratio,0.0015
2026-06-20T11:11:00Z,mediaservice,s3_request_duration_p99_ms,121.8
2026-06-20T11:11:00Z,mediaservice,http_server_duration_p99_ms,137.1
2026-06-20T11:11:00Z,catalogservice,s3_request_errors_5xx_ratio,0.001
2026-06-20T11:11:00Z,catalogservice,http_server_duration_p99_ms,101.2
