timestamp,service,metric,value
2026-07-24T13:00:00Z,config-svc,config_svc_requests_per_s,38.4
2026-07-24T13:00:00Z,config-svc,rpc_latency_p95_ms,16.3
2026-07-24T13:00:00Z,dashboard-svc,dashboard_data_lag_s,4.5109
2026-07-24T13:00:00Z,dashboard-svc,dashboard_request_p95_ms,135.0
2026-07-24T13:00:00Z,ingest-worker,ingest_queue_depth,19.0
2026-07-24T13:00:00Z,pipeline-transformer,batch_process_p95_ms,181.0
2026-07-24T13:00:00Z,search-svc,index_lag_ms,87.0
2026-07-24T13:01:00Z,config-svc,config_svc_requests_per_s,41.1
2026-07-24T13:01:00Z,config-svc,rpc_latency_p95_ms,15.2
2026-07-24T13:01:00Z,dashboard-svc,dashboard_data_lag_s,5.2973
2026-07-24T13:01:00Z,dashboard-svc,dashboard_request_p95_ms,145.9
2026-07-24T13:01:00Z,ingest-worker,ingest_queue_depth,17.8
2026-07-24T13:01:00Z,pipeline-transformer,batch_process_p95_ms,173.4
2026-07-24T13:01:00Z,search-svc,index_lag_ms,82.6
2026-07-24T13:02:00Z,config-svc,config_svc_requests_per_s,42.5
2026-07-24T13:02:00Z,config-svc,rpc_latency_p95_ms,13.9
2026-07-24T13:02:00Z,dashboard-svc,dashboard_data_lag_s,5.376
2026-07-24T13:02:00Z,dashboard-svc,dashboard_request_p95_ms,146.4
2026-07-24T13:02:00Z,ingest-worker,ingest_queue_depth,18.9
2026-07-24T13:02:00Z,pipeline-transformer,batch_process_p95_ms,172.7
2026-07-24T13:02:00Z,search-svc,index_lag_ms,86.1
2026-07-24T13:03:00Z,config-svc,config_svc_requests_per_s,37.4
2026-07-24T13:03:00Z,config-svc,rpc_latency_p95_ms,15.5
2026-07-24T13:03:00Z,dashboard-svc,dashboard_data_lag_s,5.4495
2026-07-24T13:03:00Z,dashboard-svc,dashboard_request_p95_ms,132.4
2026-07-24T13:03:00Z,ingest-worker,ingest_queue_depth,19.6
2026-07-24T13:03:00Z,pipeline-transformer,batch_process_p95_ms,170.6
2026-07-24T13:03:00Z,search-svc,index_lag_ms,96.2
2026-07-24T13:04:00Z,config-svc,config_svc_requests_per_s,43.8
2026-07-24T13:04:00Z,config-svc,rpc_latency_p95_ms,14.2
2026-07-24T13:04:00Z,dashboard-svc,dashboard_data_lag_s,5.4819
2026-07-24T13:04:00Z,dashboard-svc,dashboard_request_p95_ms,141.3
2026-07-24T13:04:00Z,ingest-worker,ingest_queue_depth,18.8
2026-07-24T13:04:00Z,pipeline-transformer,batch_process_p95_ms,179.9
2026-07-24T13:04:00Z,search-svc,index_lag_ms,79.9
2026-07-24T13:05:00Z,config-svc,config_svc_requests_per_s,39.0
2026-07-24T13:05:00Z,config-svc,rpc_latency_p95_ms,14.1
2026-07-24T13:05:00Z,dashboard-svc,dashboard_data_lag_s,5.2977
2026-07-24T13:05:00Z,dashboard-svc,dashboard_request_p95_ms,134.6
2026-07-24T13:05:00Z,ingest-worker,ingest_queue_depth,19.6
2026-07-24T13:05:00Z,pipeline-transformer,batch_process_p95_ms,188.4
