timestamp,service,metric,value
2026-06-22T11:00:00Z,dashboard-svc,http_5xx_ratio,0.0036
2026-06-22T11:00:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:01:00Z,dashboard-svc,http_5xx_ratio,0.0034
2026-06-22T11:01:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:02:00Z,dashboard-svc,http_5xx_ratio,0.0038
2026-06-22T11:02:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:03:00Z,dashboard-svc,http_5xx_ratio,0.0023
2026-06-22T11:03:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:04:00Z,dashboard-svc,http_5xx_ratio,0.0035
2026-06-22T11:04:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:05:00Z,dashboard-svc,http_5xx_ratio,0.0028
2026-06-22T11:05:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:06:00Z,dashboard-svc,http_5xx_ratio,0.0039
2026-06-22T11:06:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:07:00Z,dashboard-svc,http_5xx_ratio,0.0036
2026-06-22T11:07:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:08:00Z,dashboard-svc,http_5xx_ratio,0.0025
2026-06-22T11:08:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:09:00Z,dashboard-svc,http_5xx_ratio,0.0024
2026-06-22T11:09:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:10:00Z,dashboard-svc,http_5xx_ratio,0.0035
2026-06-22T11:10:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:11:00Z,dashboard-svc,http_5xx_ratio,0.0039
2026-06-22T11:11:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:12:00Z,dashboard-svc,http_5xx_ratio,0.0036
2026-06-22T11:12:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:13:00Z,dashboard-svc,http_5xx_ratio,0.0036
2026-06-22T11:13:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:14:00Z,dashboard-svc,http_5xx_ratio,0.0024
2026-06-22T11:14:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:15:00Z,dashboard-svc,http_5xx_ratio,0.0037
2026-06-22T11:15:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:16:00Z,dashboard-svc,http_5xx_ratio,0.0038
2026-06-22T11:16:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:17:00Z,dashboard-svc,http_5xx_ratio,0.0033
2026-06-22T11:17:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:18:00Z,dashboard-svc,http_5xx_ratio,0.0035
2026-06-22T11:18:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:19:00Z,dashboard-svc,http_5xx_ratio,0.004
2026-06-22T11:19:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:20:00Z,dashboard-svc,http_5xx_ratio,0.0021
2026-06-22T11:20:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:21:00Z,dashboard-svc,http_5xx_ratio,0.0033
2026-06-22T11:21:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:22:00Z,dashboard-svc,http_5xx_ratio,0.0036
2026-06-22T11:22:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:23:00Z,dashboard-svc,http_5xx_ratio,0.0032
2026-06-22T11:23:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:24:00Z,dashboard-svc,http_5xx_ratio,0.0038
2026-06-22T11:24:00Z,dashboard-svc,db_missing_table_errors_total,0.0
2026-06-22T11:25:00Z,dashboard-svc,http_5xx_ratio,0.5
2026-06-22T11:25:00Z,dashboard-svc,db_missing_table_errors_total,40
2026-06-22T11:26:00Z,dashboard-svc,http_5xx_ratio,0.6
2026-06-22T11:26:00Z,dashboard-svc,db_missing_table_errors_total,75
2026-06-22T11:27:00Z,dashboard-svc,http_5xx_ratio,0.7
2026-06-22T11:27:00Z,dashboard-svc,db_missing_table_errors_total,110
2026-06-22T11:28:00Z,dashboard-svc,http_5xx_ratio,0.74
2026-06-22T11:28:00Z,dashboard-svc,db_missing_table_errors_total,145
2026-06-22T11:29:00Z,dashboard-svc,http_5xx_ratio,0.74
2026-06-22T11:29:00Z,dashboard-svc,db_missing_table_errors_total,180
2026-06-22T11:30:00Z,dashboard-svc,http_5xx_ratio,0.74
2026-06-22T11:30:00Z,dashboard-svc,db_missing_table_errors_total,180
2026-06-22T11:31:00Z,dashboard-svc,http_5xx_ratio,0.74
2026-06-22T11:31:00Z,dashboard-svc,db_missing_table_errors_total,180
2026-06-22T11:32:00Z,dashboard-svc,http_5xx_ratio,0.74
2026-06-22T11:32:00Z,dashboard-svc,db_missing_table_errors_total,180
