timestamp,service,metric,value
2026-06-18T14:00:00Z,frontend,requests_per_sec,633.1
2026-06-18T14:00:00Z,frontend,http_server_5xx_rate,0.0003
2026-06-18T14:00:00Z,frontend,http_server_duration_p99_ms,224.3
2026-06-18T14:00:00Z,cartservice,http_server_5xx_rate,0.0008
2026-06-18T14:00:00Z,cartservice,http_server_duration_p99_ms,193.9
2026-06-18T14:00:00Z,productcatalogservice,http_server_duration_p99_ms,259.6
2026-06-18T14:00:00Z,productcatalogservice,http_server_5xx_rate,0.0007
2026-06-18T14:01:00Z,frontend,requests_per_sec,628.5
2026-06-18T14:01:00Z,frontend,http_server_5xx_rate,0.002
2026-06-18T14:01:00Z,frontend,http_server_duration_p99_ms,254.3
2026-06-18T14:01:00Z,cartservice,http_server_5xx_rate,0.0012
2026-06-18T14:01:00Z,cartservice,http_server_duration_p99_ms,167.9
2026-06-18T14:01:00Z,productcatalogservice,http_server_duration_p99_ms,272.9
2026-06-18T14:01:00Z,productcatalogservice,http_server_5xx_rate,0.0004
2026-06-18T14:02:00Z,frontend,requests_per_sec,632.4
2026-06-18T14:02:00Z,frontend,http_server_5xx_rate,0.0008
2026-06-18T14:02:00Z,frontend,http_server_duration_p99_ms,202.5
2026-06-18T14:02:00Z,cartservice,http_server_5xx_rate,0.0003
2026-06-18T14:02:00Z,cartservice,http_server_duration_p99_ms,181.7
2026-06-18T14:02:00Z,productcatalogservice,http_server_duration_p99_ms,253.6
2026-06-18T14:02:00Z,productcatalogservice,http_server_5xx_rate,0.0002
2026-06-18T14:03:00Z,frontend,requests_per_sec,631.5
2026-06-18T14:03:00Z,frontend,http_server_5xx_rate,0.0003
2026-06-18T14:03:00Z,frontend,http_server_duration_p99_ms,234.6
2026-06-18T14:03:00Z,cartservice,http_server_5xx_rate,0.0005
2026-06-18T14:03:00Z,cartservice,http_server_duration_p99_ms,178.9
2026-06-18T14:03:00Z,productcatalogservice,http_server_duration_p99_ms,253.3
