timestamp,service,metric,value
2026-06-20T11:00:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:00:00Z,inventoryservice,db_pool_in_use,14.0
2026-06-20T11:00:00Z,inventoryservice,db_pool_wait_seconds_p99,0.013
2026-06-20T11:00:00Z,cartservice,http_server_duration_p99_ms,173.8
2026-06-20T11:00:00Z,shippingservice,http_server_duration_p99_ms,270.9
2026-06-20T11:00:00Z,frontend,error_rate_5xx_ratio,0.0038
2026-06-20T11:01:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:01:00Z,inventoryservice,db_pool_in_use,10.3
2026-06-20T11:01:00Z,inventoryservice,db_pool_wait_seconds_p99,0.018
2026-06-20T11:01:00Z,cartservice,http_server_duration_p99_ms,203.4
2026-06-20T11:01:00Z,shippingservice,http_server_duration_p99_ms,264.1
2026-06-20T11:01:00Z,frontend,error_rate_5xx_ratio,0.0042
2026-06-20T11:02:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:02:00Z,inventoryservice,db_pool_in_use,11.2
2026-06-20T11:02:00Z,inventoryservice,db_pool_wait_seconds_p99,0.011
2026-06-20T11:02:00Z,cartservice,http_server_duration_p99_ms,214.8
2026-06-20T11:02:00Z,shippingservice,http_server_duration_p99_ms,259.1
2026-06-20T11:02:00Z,frontend,error_rate_5xx_ratio,0.0058
2026-06-20T11:03:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:03:00Z,inventoryservice,db_pool_in_use,12.7
2026-06-20T11:03:00Z,inventoryservice,db_pool_wait_seconds_p99,0.017
2026-06-20T11:03:00Z,cartservice,http_server_duration_p99_ms,207.7
2026-06-20T11:03:00Z,shippingservice,http_server_duration_p99_ms,259.2
2026-06-20T11:03:00Z,frontend,error_rate_5xx_ratio,0.0039
2026-06-20T11:04:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:04:00Z,inventoryservice,db_pool_in_use,10.7
2026-06-20T11:04:00Z,inventoryservice,db_pool_wait_seconds_p99,0.014
2026-06-20T11:04:00Z,cartservice,http_server_duration_p99_ms,229.9
2026-06-20T11:04:00Z,shippingservice,http_server_duration_p99_ms,261.3
2026-06-20T11:04:00Z,frontend,error_rate_5xx_ratio,0.0056
2026-06-20T11:05:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:05:00Z,inventoryservice,db_pool_in_use,11.0
2026-06-20T11:05:00Z,inventoryservice,db_pool_wait_seconds_p99,0.015
2026-06-20T11:05:00Z,cartservice,http_server_duration_p99_ms,197.2
2026-06-20T11:05:00Z,shippingservice,http_server_duration_p99_ms,269.3
2026-06-20T11:05:00Z,frontend,error_rate_5xx_ratio,0.004
2026-06-20T11:06:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:06:00Z,inventoryservice,db_pool_in_use,11.6
2026-06-20T11:06:00Z,inventoryservice,db_pool_wait_seconds_p99,0.018
2026-06-20T11:06:00Z,cartservice,http_server_duration_p99_ms,226.0
2026-06-20T11:06:00Z,shippingservice,http_server_duration_p99_ms,271.7
2026-06-20T11:06:00Z,frontend,error_rate_5xx_ratio,0.0049
2026-06-20T11:07:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:07:00Z,inventoryservice,db_pool_in_use,12.7
2026-06-20T11:07:00Z,inventoryservice,db_pool_wait_seconds_p99,0.015
2026-06-20T11:07:00Z,cartservice,http_server_duration_p99_ms,217.4
2026-06-20T11:07:00Z,shippingservice,http_server_duration_p99_ms,233.9
2026-06-20T11:07:00Z,frontend,error_rate_5xx_ratio,0.0044
2026-06-20T11:08:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:08:00Z,inventoryservice,db_pool_in_use,12.7
2026-06-20T11:08:00Z,inventoryservice,db_pool_wait_seconds_p99,0.014
2026-06-20T11:08:00Z,cartservice,http_server_duration_p99_ms,226.6
2026-06-20T11:08:00Z,shippingservice,http_server_duration_p99_ms,286.1
2026-06-20T11:08:00Z,frontend,error_rate_5xx_ratio,0.0039
2026-06-20T11:09:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:09:00Z,inventoryservice,db_pool_in_use,14.0
2026-06-20T11:09:00Z,inventoryservice,db_pool_wait_seconds_p99,0.015
2026-06-20T11:09:00Z,cartservice,http_server_duration_p99_ms,177.5
2026-06-20T11:09:00Z,shippingservice,http_server_duration_p99_ms,272.8
2026-06-20T11:09:00Z,frontend,error_rate_5xx_ratio,0.0059
2026-06-20T11:10:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:10:00Z,inventoryservice,db_pool_in_use,11.0
2026-06-20T11:10:00Z,inventoryservice,db_pool_wait_seconds_p99,0.017
2026-06-20T11:10:00Z,cartservice,http_server_duration_p99_ms,228.2
2026-06-20T11:10:00Z,shippingservice,http_server_duration_p99_ms,270.7
2026-06-20T11:10:00Z,frontend,error_rate_5xx_ratio,0.0055
2026-06-20T11:11:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:11:00Z,inventoryservice,db_pool_in_use,12.3
2026-06-20T11:11:00Z,inventoryservice,db_pool_wait_seconds_p99,0.015
2026-06-20T11:11:00Z,cartservice,http_server_duration_p99_ms,228.8
2026-06-20T11:11:00Z,shippingservice,http_server_duration_p99_ms,254.7
2026-06-20T11:11:00Z,frontend,error_rate_5xx_ratio,0.005
2026-06-20T11:12:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:12:00Z,inventoryservice,db_pool_in_use,13.0
2026-06-20T11:12:00Z,inventoryservice,db_pool_wait_seconds_p99,0.018
2026-06-20T11:12:00Z,cartservice,http_server_duration_p99_ms,215.5
2026-06-20T11:12:00Z,shippingservice,http_server_duration_p99_ms,264.2
2026-06-20T11:12:00Z,frontend,error_rate_5xx_ratio,0.0054
2026-06-20T11:13:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:13:00Z,inventoryservice,db_pool_in_use,11.1
2026-06-20T11:13:00Z,inventoryservice,db_pool_wait_seconds_p99,0.015
2026-06-20T11:13:00Z,cartservice,http_server_duration_p99_ms,183.7
2026-06-20T11:13:00Z,shippingservice,http_server_duration_p99_ms,267.9
2026-06-20T11:13:00Z,frontend,error_rate_5xx_ratio,0.0032
2026-06-20T11:14:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:14:00Z,inventoryservice,db_pool_in_use,11.3
2026-06-20T11:14:00Z,inventoryservice,db_pool_wait_seconds_p99,0.019
2026-06-20T11:14:00Z,cartservice,http_server_duration_p99_ms,216.4
2026-06-20T11:14:00Z,shippingservice,http_server_duration_p99_ms,234.2
2026-06-20T11:14:00Z,frontend,error_rate_5xx_ratio,0.0046
2026-06-20T11:15:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:15:00Z,inventoryservice,db_pool_in_use,13.5
2026-06-20T11:15:00Z,inventoryservice,db_pool_wait_seconds_p99,0.019
2026-06-20T11:15:00Z,cartservice,http_server_duration_p99_ms,179.5
2026-06-20T11:15:00Z,shippingservice,http_server_duration_p99_ms,233.2
2026-06-20T11:15:00Z,frontend,error_rate_5xx_ratio,0.0039
2026-06-20T11:16:00Z,inventoryservice,db_pool_max_conns,50
2026-06-20T11:16:00Z,inventoryservice,db_pool_in_use,11.3
2026-06-20T11:16:00Z,inventoryservice,db_pool_wait_seconds_p99,0.011
2026-06-20T11:16:00Z,cartservice,http_server_duration_p99_ms,213.5
2026-06-20T11:16:00Z,shippingservice,http_server_duration_p99_ms,239.3
2026-06-20T11:16:00Z,frontend,error_rate_5xx_ratio,0.0048
