timestamp,service,metric,value
2026-07-23T09:00:00Z,checkoutservice,checkout_latency_p99_ms,312.2
2026-07-23T09:00:00Z,dashboard-svc,dashboard_request_count,45.2
2026-07-23T09:00:00Z,frontend,order_history_timeout_ratio,0.001
2026-07-23T09:00:00Z,frontend,page_load_p95_ms,325.7
2026-07-23T09:00:00Z,inventory-service,inventory_sync_lag_s,4.8842
2026-07-23T09:00:00Z,inventory-service,warehouse_queue_depth,12.1
2026-07-23T09:00:00Z,orders-api,db_queries_per_request,3.0386
2026-07-23T09:00:00Z,orders-api,order_create_rate,38.5
2026-07-23T09:00:00Z,orders-api,orders_latency_p99_ms,219.0
2026-07-23T09:00:00Z,paymentservice,payment_success_ratio,1.0106
2026-07-23T09:00:00Z,platform-api,platform_api_latency_p95_ms,61.0
2026-07-23T09:00:00Z,shippingservice,label_api_latency_ms,86.3
2026-07-23T09:00:00Z,shippingservice,shipping_queue_depth,11.3
2026-07-23T09:01:00Z,checkoutservice,checkout_latency_p99_ms,289.8
2026-07-23T09:01:00Z,dashboard-svc,dashboard_request_count,34.2
2026-07-23T09:01:00Z,frontend,order_history_timeout_ratio,0.0011
2026-07-23T09:01:00Z,frontend,page_load_p95_ms,303.2
2026-07-23T09:01:00Z,inventory-service,inventory_sync_lag_s,5.2741
2026-07-23T09:01:00Z,inventory-service,warehouse_queue_depth,10.2
2026-07-23T09:01:00Z,orders-api,db_queries_per_request,2.8241
2026-07-23T09:01:00Z,orders-api,order_create_rate,32.6
2026-07-23T09:01:00Z,orders-api,orders_latency_p99_ms,221.9
2026-07-23T09:01:00Z,paymentservice,payment_success_ratio,0.9814
2026-07-23T09:01:00Z,platform-api,platform_api_latency_p95_ms,56.9
2026-07-23T09:01:00Z,shippingservice,label_api_latency_ms,79.5
2026-07-23T09:01:00Z,shippingservice,shipping_queue_depth,10.6
2026-07-23T09:02:00Z,checkoutservice,checkout_latency_p99_ms,287.7
2026-07-23T09:02:00Z,dashboard-svc,dashboard_request_count,44.8
2026-07-23T09:02:00Z,frontend,order_history_timeout_ratio,0.001
