timestamp,service,metric,value
2026-07-23T06:00:00Z,frontend,order_history_timeout_ratio,0.0011
2026-07-23T06:00:00Z,frontend,page_load_p95_ms,328.7
2026-07-23T06:00:00Z,inventory-service,inventory_sync_lag_s,4.8376
2026-07-23T06:00:00Z,inventory-service,warehouse_queue_depth,13.9
2026-07-23T06:00:00Z,orders-api,db_rows_examined,73.4
2026-07-23T06:00:00Z,orders-api,order_create_rate,40.0
2026-07-23T06:00:00Z,orders-api,orders_latency_p99_ms,210.3
2026-07-23T06:01:00Z,frontend,order_history_timeout_ratio,0.0011
2026-07-23T06:01:00Z,frontend,page_load_p95_ms,311.8
2026-07-23T06:01:00Z,inventory-service,inventory_sync_lag_s,4.5278
2026-07-23T06:01:00Z,inventory-service,warehouse_queue_depth,12.7
2026-07-23T06:01:00Z,orders-api,db_rows_examined,84.3
2026-07-23T06:01:00Z,orders-api,order_create_rate,32.0
2026-07-23T06:01:00Z,orders-api,orders_latency_p99_ms,218.1
2026-07-23T06:02:00Z,frontend,order_history_timeout_ratio,0.001
2026-07-23T06:02:00Z,frontend,page_load_p95_ms,289.2
2026-07-23T06:02:00Z,inventory-service,inventory_sync_lag_s,5.01
2026-07-23T06:02:00Z,inventory-service,warehouse_queue_depth,13.2
2026-07-23T06:02:00Z,orders-api,db_rows_examined,74.3
2026-07-23T06:02:00Z,orders-api,order_create_rate,35.7
2026-07-23T06:02:00Z,orders-api,orders_latency_p99_ms,229.3
2026-07-23T06:03:00Z,frontend,order_history_timeout_ratio,0.0011
2026-07-23T06:03:00Z,frontend,page_load_p95_ms,320.9
2026-07-23T06:03:00Z,inventory-service,inventory_sync_lag_s,5.3819
2026-07-23T06:03:00Z,inventory-service,warehouse_queue_depth,12.9
2026-07-23T06:03:00Z,orders-api,db_rows_examined,83.0
2026-07-23T06:03:00Z,orders-api,order_create_rate,31.7
2026-07-23T06:03:00Z,orders-api,orders_latency_p99_ms,218.7
2026-07-23T06:04:00Z,frontend,order_history_timeout_ratio,0.001
2026-07-23T06:04:00Z,frontend,page_load_p95_ms,328.1
2026-07-23T06:04:00Z,inventory-service,inventory_sync_lag_s,5.5954
2026-07-23T06:04:00Z,inventory-service,warehouse_queue_depth,11.2
2026-07-23T06:04:00Z,orders-api,db_rows_examined,78.0
2026-07-23T06:04:00Z,orders-api,order_create_rate,33.5
2026-07-23T06:04:00Z,orders-api,orders_latency_p99_ms,212.9
2026-07-23T06:05:00Z,frontend,order_history_timeout_ratio,0.0011
2026-07-23T06:05:00Z,frontend,page_load_p95_ms,303.1
2026-07-23T06:05:00Z,inventory-service,inventory_sync_lag_s,5.5426
2026-07-23T06:05:00Z,inventory-service,warehouse_queue_depth,13.9
2026-07-23T06:05:00Z,orders-api,db_rows_examined,77.9
2026-07-23T06:05:00Z,orders-api,order_create_rate,32.0
2026-07-23T06:05:00Z,orders-api,orders_latency_p99_ms,224.4
2026-07-23T06:06:00Z,frontend,order_history_timeout_ratio,0.001
2026-07-23T06:06:00Z,frontend,page_load_p95_ms,307.4
2026-07-23T06:06:00Z,inventory-service,inventory_sync_lag_s,5.3142
2026-07-23T06:06:00Z,inventory-service,warehouse_queue_depth,10.8
2026-07-23T06:06:00Z,orders-api,db_rows_examined,76.8
2026-07-23T06:06:00Z,orders-api,order_create_rate,33.1
2026-07-23T06:06:00Z,orders-api,orders_latency_p99_ms,214.9
2026-07-23T06:07:00Z,frontend,order_history_timeout_ratio,0.001
2026-07-23T06:07:00Z,frontend,page_load_p95_ms,299.0
2026-07-23T06:07:00Z,inventory-service,inventory_sync_lag_s,4.6921
2026-07-23T06:07:00Z,inventory-service,warehouse_queue_depth,9.8
2026-07-23T06:07:00Z,orders-api,db_rows_examined,73.6
2026-07-23T06:07:00Z,orders-api,order_create_rate,30.2
2026-07-23T06:07:00Z,orders-api,orders_latency_p99_ms,222.2
2026-07-23T06:08:00Z,frontend,order_history_timeout_ratio,0.001
2026-07-23T06:08:00Z,frontend,page_load_p95_ms,310.6
2026-07-23T06:08:00Z,inventory-service,inventory_sync_lag_s,5.0692
2026-07-23T06:08:00Z,inventory-service,warehouse_queue_depth,13.1
2026-07-23T06:08:00Z,orders-api,db_rows_examined,86.4
2026-07-23T06:08:00Z,orders-api,order_create_rate,30.5
2026-07-23T06:08:00Z,orders-api,orders_latency_p99_ms,212.9
2026-07-23T06:09:00Z,frontend,order_history_timeout_ratio,0.0011
2026-07-23T06:09:00Z,frontend,page_load_p95_ms,328.0
2026-07-23T06:09:00Z,inventory-service,inventory_sync_lag_s,4.2791
2026-07-23T06:09:00Z,inventory-service,warehouse_queue_depth,13.7
2026-07-23T06:09:00Z,orders-api,db_rows_examined,74.9
2026-07-23T06:09:00Z,orders-api,order_create_rate,35.6
