timestamp,service,metric,value
2026-06-19T09:00:00Z,paymentservice,error_rate_5xx_ratio,0.0041
2026-06-19T09:00:00Z,paymentservice,panic_count,0
2026-06-19T09:00:00Z,checkoutservice,error_rate_5xx_ratio,0.0033
2026-06-19T09:00:00Z,frontend,error_rate_5xx_ratio,0.0046
2026-06-19T09:01:00Z,paymentservice,error_rate_5xx_ratio,0.0039
2026-06-19T09:01:00Z,paymentservice,panic_count,0
2026-06-19T09:01:00Z,checkoutservice,error_rate_5xx_ratio,0.0047
2026-06-19T09:01:00Z,frontend,error_rate_5xx_ratio,0.0044
2026-06-19T09:02:00Z,paymentservice,error_rate_5xx_ratio,0.0027
2026-06-19T09:02:00Z,paymentservice,panic_count,0
2026-06-19T09:02:00Z,checkoutservice,error_rate_5xx_ratio,0.0032
2026-06-19T09:02:00Z,frontend,error_rate_5xx_ratio,0.0068
2026-06-19T09:03:00Z,paymentservice,error_rate_5xx_ratio,0.0049
2026-06-19T09:03:00Z,paymentservice,panic_count,0
2026-06-19T09:03:00Z,checkoutservice,error_rate_5xx_ratio,0.0043
2026-06-19T09:03:00Z,frontend,error_rate_5xx_ratio,0.0062
2026-06-19T09:04:00Z,paymentservice,error_rate_5xx_ratio,0.0048
2026-06-19T09:04:00Z,paymentservice,panic_count,0
2026-06-19T09:04:00Z,checkoutservice,error_rate_5xx_ratio,0.0058
2026-06-19T09:04:00Z,frontend,error_rate_5xx_ratio,0.004
2026-06-19T09:05:00Z,paymentservice,error_rate_5xx_ratio,0.0026
2026-06-19T09:05:00Z,paymentservice,panic_count,0
2026-06-19T09:05:00Z,checkoutservice,error_rate_5xx_ratio,0.0053
2026-06-19T09:05:00Z,frontend,error_rate_5xx_ratio,0.0065
2026-06-19T09:06:00Z,paymentservice,error_rate_5xx_ratio,0.0029
2026-06-19T09:06:00Z,paymentservice,panic_count,0
2026-06-19T09:06:00Z,checkoutservice,error_rate_5xx_ratio,0.0032
2026-06-19T09:06:00Z,frontend,error_rate_5xx_ratio,0.005
2026-06-19T09:07:00Z,paymentservice,error_rate_5xx_ratio,0.0037
2026-06-19T09:07:00Z,paymentservice,panic_count,0
2026-06-19T09:07:00Z,checkoutservice,error_rate_5xx_ratio,0.0057
2026-06-19T09:07:00Z,frontend,error_rate_5xx_ratio,0.0041
2026-06-19T09:08:00Z,paymentservice,error_rate_5xx_ratio,0.003
2026-06-19T09:08:00Z,paymentservice,panic_count,0
2026-06-19T09:08:00Z,checkoutservice,error_rate_5xx_ratio,0.0035
2026-06-19T09:08:00Z,frontend,error_rate_5xx_ratio,0.0044
2026-06-19T09:09:00Z,paymentservice,error_rate_5xx_ratio,0.003
2026-06-19T09:09:00Z,paymentservice,panic_count,0
2026-06-19T09:09:00Z,checkoutservice,error_rate_5xx_ratio,0.0053
2026-06-19T09:09:00Z,frontend,error_rate_5xx_ratio,0.005
2026-06-19T09:10:00Z,paymentservice,error_rate_5xx_ratio,0.0023
2026-06-19T09:10:00Z,paymentservice,panic_count,0
2026-06-19T09:10:00Z,checkoutservice,error_rate_5xx_ratio,0.0058
2026-06-19T09:10:00Z,frontend,error_rate_5xx_ratio,0.0041
2026-06-19T09:11:00Z,paymentservice,error_rate_5xx_ratio,0.0028
2026-06-19T09:11:00Z,paymentservice,panic_count,0
2026-06-19T09:11:00Z,checkoutservice,error_rate_5xx_ratio,0.0059
2026-06-19T09:11:00Z,frontend,error_rate_5xx_ratio,0.0053
2026-06-19T09:12:00Z,paymentservice,error_rate_5xx_ratio,0.0027
2026-06-19T09:12:00Z,paymentservice,panic_count,0
2026-06-19T09:12:00Z,checkoutservice,error_rate_5xx_ratio,0.0051
2026-06-19T09:12:00Z,frontend,error_rate_5xx_ratio,0.0051
2026-06-19T09:13:00Z,paymentservice,error_rate_5xx_ratio,0.0038
2026-06-19T09:13:00Z,paymentservice,panic_count,0
2026-06-19T09:13:00Z,checkoutservice,error_rate_5xx_ratio,0.0039
2026-06-19T09:13:00Z,frontend,error_rate_5xx_ratio,0.0051
2026-06-19T09:14:00Z,paymentservice,error_rate_5xx_ratio,0.0042
2026-06-19T09:14:00Z,paymentservice,panic_count,0
2026-06-19T09:14:00Z,checkoutservice,error_rate_5xx_ratio,0.0052
2026-06-19T09:14:00Z,frontend,error_rate_5xx_ratio,0.0059
2026-06-19T09:15:00Z,paymentservice,error_rate_5xx_ratio,0.0041
2026-06-19T09:15:00Z,paymentservice,panic_count,0
2026-06-19T09:15:00Z,checkoutservice,error_rate_5xx_ratio,0.0039
2026-06-19T09:15:00Z,frontend,error_rate_5xx_ratio,0.0047
2026-06-19T09:16:00Z,paymentservice,error_rate_5xx_ratio,0.0023
2026-06-19T09:16:00Z,paymentservice,panic_count,0
2026-06-19T09:16:00Z,checkoutservice,error_rate_5xx_ratio,0.0039
2026-06-19T09:16:00Z,frontend,error_rate_5xx_ratio,0.0057
2026-06-19T09:17:00Z,paymentservice,error_rate_5xx_ratio,0.0024
2026-06-19T09:17:00Z,paymentservice,panic_count,0
2026-06-19T09:17:00Z,checkoutservice,error_rate_5xx_ratio,0.0031
2026-06-19T09:17:00Z,frontend,error_rate_5xx_ratio,0.0051
2026-06-19T09:18:00Z,paymentservice,error_rate_5xx_ratio,0.0031
2026-06-19T09:18:00Z,paymentservice,panic_count,0
2026-06-19T09:18:00Z,checkoutservice,error_rate_5xx_ratio,0.0042
2026-06-19T09:18:00Z,frontend,error_rate_5xx_ratio,0.0063
2026-06-19T09:19:00Z,paymentservice,error_rate_5xx_ratio,0.0026
2026-06-19T09:19:00Z,paymentservice,panic_count,0
2026-06-19T09:19:00Z,checkoutservice,error_rate_5xx_ratio,0.0051
2026-06-19T09:19:00Z,frontend,error_rate_5xx_ratio,0.0053
2026-06-19T09:20:00Z,paymentservice,error_rate_5xx_ratio,0.0028
2026-06-19T09:20:00Z,paymentservice,panic_count,0
2026-06-19T09:20:00Z,checkoutservice,error_rate_5xx_ratio,0.0059
2026-06-19T09:20:00Z,frontend,error_rate_5xx_ratio,0.0052
2026-06-19T09:21:00Z,paymentservice,error_rate_5xx_ratio,0.0035
2026-06-19T09:21:00Z,paymentservice,panic_count,0
2026-06-19T09:21:00Z,checkoutservice,error_rate_5xx_ratio,0.0051
2026-06-19T09:21:00Z,frontend,error_rate_5xx_ratio,0.0044
2026-06-19T09:22:00Z,paymentservice,error_rate_5xx_ratio,0.0039
2026-06-19T09:22:00Z,paymentservice,panic_count,0
2026-06-19T09:22:00Z,checkoutservice,error_rate_5xx_ratio,0.0031
2026-06-19T09:22:00Z,frontend,error_rate_5xx_ratio,0.005
