timestamp,service,metric,value
2026-07-24T07:00:00Z,auth-gw,session_lookup_error_ratio,0.0028
2026-07-24T07:00:00Z,auth-gw,session_lookup_p95_ms,35.0
2026-07-24T07:00:00Z,billing-worker,billing_queue_depth,20.1
2026-07-24T07:00:00Z,frontend,login_latency_p95_ms,200.4
2026-07-24T07:00:00Z,frontend,page_render_p95_ms,112.9
2026-07-24T07:00:00Z,search-indexer,index_lag_ms,105.2
2026-07-24T07:00:00Z,session-cache,cache_evictions_per_sec,38.1
2026-07-24T07:00:00Z,session-cache,cache_hit_ratio,0.9529
2026-07-24T07:01:00Z,auth-gw,session_lookup_error_ratio,0.0026
2026-07-24T07:01:00Z,auth-gw,session_lookup_p95_ms,34.0
2026-07-24T07:01:00Z,billing-worker,billing_queue_depth,17.2
2026-07-24T07:01:00Z,frontend,login_latency_p95_ms,184.5
2026-07-24T07:01:00Z,frontend,page_render_p95_ms,105.5
2026-07-24T07:01:00Z,search-indexer,index_lag_ms,93.7
2026-07-24T07:01:00Z,session-cache,cache_evictions_per_sec,41.7
2026-07-24T07:01:00Z,session-cache,cache_hit_ratio,0.9674
2026-07-24T07:02:00Z,auth-gw,session_lookup_error_ratio,0.003
2026-07-24T07:02:00Z,auth-gw,session_lookup_p95_ms,36.1
2026-07-24T07:02:00Z,billing-worker,billing_queue_depth,18.5
2026-07-24T07:02:00Z,frontend,login_latency_p95_ms,187.8
2026-07-24T07:02:00Z,frontend,page_render_p95_ms,104.3
2026-07-24T07:02:00Z,search-indexer,index_lag_ms,103.5
2026-07-24T07:02:00Z,session-cache,cache_evictions_per_sec,39.9
2026-07-24T07:02:00Z,session-cache,cache_hit_ratio,0.964
2026-07-24T07:03:00Z,auth-gw,session_lookup_error_ratio,0.0031
2026-07-24T07:03:00Z,auth-gw,session_lookup_p95_ms,35.2
2026-07-24T07:03:00Z,billing-worker,billing_queue_depth,19.6
2026-07-24T07:03:00Z,frontend,login_latency_p95_ms,184.9
2026-07-24T07:03:00Z,frontend,page_render_p95_ms,103.4
2026-07-24T07:03:00Z,search-indexer,index_lag_ms,86.2
2026-07-24T07:03:00Z,session-cache,cache_evictions_per_sec,43.5
2026-07-24T07:03:00Z,session-cache,cache_hit_ratio,0.9597
2026-07-24T07:04:00Z,auth-gw,session_lookup_error_ratio,0.003
2026-07-24T07:04:00Z,auth-gw,session_lookup_p95_ms,33.7
2026-07-24T07:04:00Z,billing-worker,billing_queue_depth,17.9
2026-07-24T07:04:00Z,frontend,login_latency_p95_ms,178.0
2026-07-24T07:04:00Z,frontend,page_render_p95_ms,111.1
2026-07-24T07:04:00Z,search-indexer,index_lag_ms,98.0
2026-07-24T07:04:00Z,session-cache,cache_evictions_per_sec,44.2
2026-07-24T07:04:00Z,session-cache,cache_hit_ratio,0.9681
2026-07-24T07:05:00Z,auth-gw,session_lookup_error_ratio,0.0034
2026-07-24T07:05:00Z,auth-gw,session_lookup_p95_ms,33.3
2026-07-24T07:05:00Z,billing-worker,billing_queue_depth,18.0
2026-07-24T07:05:00Z,frontend,login_latency_p95_ms,181.5
2026-07-24T07:05:00Z,frontend,page_render_p95_ms,111.7
2026-07-24T07:05:00Z,search-indexer,index_lag_ms,97.3
2026-07-24T07:05:00Z,session-cache,cache_evictions_per_sec,39.3
2026-07-24T07:05:00Z,session-cache,cache_hit_ratio,0.9682
2026-07-24T07:06:00Z,auth-gw,session_lookup_error_ratio,0.0029
2026-07-24T07:06:00Z,auth-gw,session_lookup_p95_ms,36.4
2026-07-24T07:06:00Z,billing-worker,billing_queue_depth,17.5
2026-07-24T07:06:00Z,frontend,login_latency_p95_ms,192.9
2026-07-24T07:06:00Z,frontend,page_render_p95_ms,106.1
2026-07-24T07:06:00Z,search-indexer,index_lag_ms,92.0
2026-07-24T07:06:00Z,session-cache,cache_evictions_per_sec,45.8
2026-07-24T07:06:00Z,session-cache,cache_hit_ratio,0.9609
2026-07-24T07:07:00Z,auth-gw,session_lookup_error_ratio,0.0034
2026-07-24T07:07:00Z,auth-gw,session_lookup_p95_ms,37.5
2026-07-24T07:07:00Z,billing-worker,billing_queue_depth,19.0
2026-07-24T07:07:00Z,frontend,login_latency_p95_ms,187.5
2026-07-24T07:07:00Z,frontend,page_render_p95_ms,110.7
2026-07-24T07:07:00Z,search-indexer,index_lag_ms,100.8
2026-07-24T07:07:00Z,session-cache,cache_evictions_per_sec,39.7
2026-07-24T07:07:00Z,session-cache,cache_hit_ratio,0.9658
2026-07-24T07:08:00Z,auth-gw,session_lookup_error_ratio,0.003
2026-07-24T07:08:00Z,auth-gw,session_lookup_p95_ms,36.1
2026-07-24T07:08:00Z,billing-worker,billing_queue_depth,20.5
2026-07-24T07:08:00Z,frontend,login_latency_p95_ms,184.2
2026-07-24T07:08:00Z,frontend,page_render_p95_ms,114.7
2026-07-24T07:08:00Z,search-indexer,index_lag_ms,90.3
2026-07-24T07:08:00Z,session-cache,cache_evictions_per_sec,45.6
2026-07-24T07:08:00Z,session-cache,cache_hit_ratio,0.954
2026-07-24T07:09:00Z,auth-gw,session_lookup_error_ratio,0.0028
2026-07-24T07:09:00Z,auth-gw,session_lookup_p95_ms,34.0
2026-07-24T07:09:00Z,billing-worker,billing_queue_depth,20.1
2026-07-24T07:09:00Z,frontend,login_latency_p95_ms,193.9
2026-07-24T07:09:00Z,frontend,page_render_p95_ms,106.6
2026-07-24T07:09:00Z,search-indexer,index_lag_ms,89.0
2026-07-24T07:09:00Z,session-cache,cache_evictions_per_sec,37.8
2026-07-24T07:09:00Z,session-cache,cache_hit_ratio,0.9665
2026-07-24T07:10:00Z,auth-gw,session_lookup_error_ratio,0.0029
2026-07-24T07:10:00Z,auth-gw,session_lookup_p95_ms,37.5
2026-07-24T07:10:00Z,billing-worker,billing_queue_depth,15.8
2026-07-24T07:10:00Z,frontend,login_latency_p95_ms,189.1
2026-07-24T07:10:00Z,frontend,page_render_p95_ms,109.8
2026-07-24T07:10:00Z,search-indexer,index_lag_ms,92.9
2026-07-24T07:10:00Z,session-cache,cache_evictions_per_sec,44.3
2026-07-24T07:10:00Z,session-cache,cache_hit_ratio,0.9624
2026-07-24T07:11:00Z,auth-gw,session_lookup_error_ratio,0.0031
2026-07-24T07:11:00Z,auth-gw,session_lookup_p95_ms,36.1
2026-07-24T07:11:00Z,billing-worker,billing_queue_depth,15.8
2026-07-24T07:11:00Z,frontend,login_latency_p95_ms,177.6
2026-07-24T07:11:00Z,frontend,page_render_p95_ms,108.7
2026-07-24T07:11:00Z,search-indexer,index_lag_ms,101.1
2026-07-24T07:11:00Z,session-cache,cache_evictions_per_sec,45.4
2026-07-24T07:11:00Z,session-cache,cache_hit_ratio,0.9578
2026-07-24T07:12:00Z,auth-gw,session_lookup_error_ratio,0.0027
2026-07-24T07:12:00Z,auth-gw,session_lookup_p95_ms,37.2
2026-07-24T07:12:00Z,billing-worker,billing_queue_depth,19.6
