timestamp,service,metric,value
2026-06-18T14:00:00Z,orderservice,upstream_call_error_ratio,0.002
2026-06-18T14:00:00Z,orderservice,http_server_duration_p99_ms,67.0
2026-06-18T14:00:00Z,orderservice,requests_per_sec,290.7
2026-06-18T14:00:00Z,paymentservice,tls_cert_seconds_until_expiry,3840
2026-06-18T14:00:00Z,paymentservice,requests_per_sec,284.9
2026-06-18T14:00:00Z,paymentservice,http_server_duration_p99_ms,48.5
2026-06-18T14:00:00Z,checkoutservice,upstream_call_error_ratio,0.001
2026-06-18T14:00:00Z,checkoutservice,http_server_duration_p99_ms,173.6
2026-06-18T14:00:00Z,frontend,upstream_call_error_ratio,0.003
2026-06-18T14:02:00Z,orderservice,upstream_call_error_ratio,0.003
2026-06-18T14:02:00Z,orderservice,http_server_duration_p99_ms,92.8
2026-06-18T14:02:00Z,orderservice,requests_per_sec,309.4
2026-06-18T14:02:00Z,paymentservice,tls_cert_seconds_until_expiry,3720
2026-06-18T14:02:00Z,paymentservice,requests_per_sec,295.3
2026-06-18T14:02:00Z,paymentservice,http_server_duration_p99_ms,44.6
2026-06-18T14:02:00Z,checkoutservice,upstream_call_error_ratio,0.001
2026-06-18T14:02:00Z,checkoutservice,http_server_duration_p99_ms,246.3
2026-06-18T14:02:00Z,frontend,upstream_call_error_ratio,0.001
2026-06-18T14:04:00Z,orderservice,upstream_call_error_ratio,0.002
2026-06-18T14:04:00Z,orderservice,http_server_duration_p99_ms,83.9
2026-06-18T14:04:00Z,orderservice,requests_per_sec,289.1
2026-06-18T14:04:00Z,paymentservice,tls_cert_seconds_until_expiry,3600
2026-06-18T14:04:00Z,paymentservice,requests_per_sec,309.6
2026-06-18T14:04:00Z,paymentservice,http_server_duration_p99_ms,50.9
2026-06-18T14:04:00Z,checkoutservice,upstream_call_error_ratio,0.002
2026-06-18T14:04:00Z,checkoutservice,http_server_duration_p99_ms,252.6
2026-06-18T14:04:00Z,frontend,upstream_call_error_ratio,0.002
2026-06-18T14:06:00Z,orderservice,upstream_call_error_ratio,0.005
2026-06-18T14:06:00Z,orderservice,http_server_duration_p99_ms,76.4
2026-06-18T14:06:00Z,orderservice,requests_per_sec,304.2
2026-06-18T14:06:00Z,paymentservice,tls_cert_seconds_until_expiry,3480
2026-06-18T14:06:00Z,paymentservice,requests_per_sec,286.2
2026-06-18T14:06:00Z,paymentservice,http_server_duration_p99_ms,28.2
2026-06-18T14:06:00Z,checkoutservice,upstream_call_error_ratio,0.001
2026-06-18T14:06:00Z,checkoutservice,http_server_duration_p99_ms,258.5
2026-06-18T14:06:00Z,frontend,upstream_call_error_ratio,0.002
2026-06-18T14:08:00Z,orderservice,upstream_call_error_ratio,0.003
2026-06-18T14:08:00Z,orderservice,http_server_duration_p99_ms,91.5
2026-06-18T14:08:00Z,orderservice,requests_per_sec,316.3
2026-06-18T14:08:00Z,paymentservice,tls_cert_seconds_until_expiry,3360
2026-06-18T14:08:00Z,paymentservice,requests_per_sec,328.6
2026-06-18T14:08:00Z,paymentservice,http_server_duration_p99_ms,37.7
2026-06-18T14:08:00Z,checkoutservice,upstream_call_error_ratio,0.001
2026-06-18T14:08:00Z,checkoutservice,http_server_duration_p99_ms,248.9
2026-06-18T14:08:00Z,frontend,upstream_call_error_ratio,0.001
2026-06-18T14:10:00Z,orderservice,upstream_call_error_ratio,0.005
2026-06-18T14:10:00Z,orderservice,http_server_duration_p99_ms,80.8
