timestamp,service,metric,value
2026-06-21T07:00:00Z,searchservice,db_query_latency_p99_ms,46.5
2026-06-21T07:00:00Z,searchservice,db_rows_examined,52
2026-06-21T07:00:00Z,searchservice,db_cpu_pct,18.9
2026-06-21T07:00:00Z,frontend,search_page_error_ratio,0.0017
2026-06-21T07:01:00Z,searchservice,db_query_latency_p99_ms,46.7
2026-06-21T07:01:00Z,searchservice,db_rows_examined,51
2026-06-21T07:01:00Z,searchservice,db_cpu_pct,15.1
2026-06-21T07:01:00Z,frontend,search_page_error_ratio,0.0034
2026-06-21T07:02:00Z,searchservice,db_query_latency_p99_ms,43.1
2026-06-21T07:02:00Z,searchservice,db_rows_examined,49
2026-06-21T07:02:00Z,searchservice,db_cpu_pct,18.6
2026-06-21T07:02:00Z,frontend,search_page_error_ratio,0.002
2026-06-21T07:03:00Z,searchservice,db_query_latency_p99_ms,44.6
2026-06-21T07:03:00Z,searchservice,db_rows_examined,54
2026-06-21T07:03:00Z,searchservice,db_cpu_pct,20.4
2026-06-21T07:03:00Z,frontend,search_page_error_ratio,0.0027
2026-06-21T07:04:00Z,searchservice,db_query_latency_p99_ms,43.4
2026-06-21T07:04:00Z,searchservice,db_rows_examined,54
2026-06-21T07:04:00Z,searchservice,db_cpu_pct,18.0
2026-06-21T07:04:00Z,frontend,search_page_error_ratio,0.0027
2026-06-21T07:05:00Z,searchservice,db_query_latency_p99_ms,43.0
2026-06-21T07:05:00Z,searchservice,db_rows_examined,54
2026-06-21T07:05:00Z,searchservice,db_cpu_pct,19.1
2026-06-21T07:05:00Z,frontend,search_page_error_ratio,0.0008
2026-06-21T07:06:00Z,searchservice,db_query_latency_p99_ms,44.1
2026-06-21T07:06:00Z,searchservice,db_rows_examined,53
2026-06-21T07:06:00Z,searchservice,db_cpu_pct,21.8
2026-06-21T07:06:00Z,frontend,search_page_error_ratio,0.0016
2026-06-21T07:07:00Z,searchservice,db_query_latency_p99_ms,47.0
2026-06-21T07:07:00Z,searchservice,db_rows_examined,53
2026-06-21T07:07:00Z,searchservice,db_cpu_pct,20.9
2026-06-21T07:07:00Z,frontend,search_page_error_ratio,0.001
2026-06-21T07:08:00Z,searchservice,db_query_latency_p99_ms,46.1
2026-06-21T07:08:00Z,searchservice,db_rows_examined,51
2026-06-21T07:08:00Z,searchservice,db_cpu_pct,15.7
2026-06-21T07:08:00Z,frontend,search_page_error_ratio,0.0016
2026-06-21T07:09:00Z,searchservice,db_query_latency_p99_ms,43.5
2026-06-21T07:09:00Z,searchservice,db_rows_examined,50
2026-06-21T07:09:00Z,searchservice,db_cpu_pct,19.3
2026-06-21T07:09:00Z,frontend,search_page_error_ratio,0.0015
2026-06-21T07:10:00Z,searchservice,db_query_latency_p99_ms,44.9
2026-06-21T07:10:00Z,searchservice,db_rows_examined,51
2026-06-21T07:10:00Z,searchservice,db_cpu_pct,20.5
2026-06-21T07:10:00Z,frontend,search_page_error_ratio,0.0028
2026-06-21T07:11:00Z,searchservice,db_query_latency_p99_ms,41.8
2026-06-21T07:11:00Z,searchservice,db_rows_examined,52
