timestamp,service,metric,value
2026-07-23T08:00:00Z,billing-api,webhook_confirmation_p99_ms,312.2
2026-07-23T08:00:00Z,billing-api,webhook_retry_queue_depth,3.9389
2026-07-23T08:00:00Z,partner-sync-worker,records_processed_per_min,248.0
2026-07-23T08:00:00Z,partner-sync-worker,sync_backlog_depth,19.7
2026-07-23T08:00:00Z,partner-sync-worker,sync_lag_s,6.895
2026-07-23T08:00:00Z,webhook-dispatcher,container_memory_rss_mb,491.6
2026-07-23T08:00:00Z,webhook-dispatcher,tcp_new_conns_per_s,11.0
2026-07-23T08:00:00Z,webhook-dispatcher,tls_handshake_p95_ms,17.1
2026-07-23T08:00:00Z,webhook-dispatcher,webhook_dispatch_p95_ms,198.8
2026-07-23T08:01:00Z,billing-api,webhook_confirmation_p99_ms,290.5
2026-07-23T08:01:00Z,billing-api,webhook_retry_queue_depth,4.3505
2026-07-23T08:01:00Z,partner-sync-worker,records_processed_per_min,251.4
2026-07-23T08:01:00Z,partner-sync-worker,sync_backlog_depth,19.0
2026-07-23T08:01:00Z,partner-sync-worker,sync_lag_s,5.9544
2026-07-23T08:01:00Z,webhook-dispatcher,container_memory_rss_mb,475.0
2026-07-23T08:01:00Z,webhook-dispatcher,tcp_new_conns_per_s,11.8
2026-07-23T08:01:00Z,webhook-dispatcher,tls_handshake_p95_ms,19.4
2026-07-23T08:01:00Z,webhook-dispatcher,webhook_dispatch_p95_ms,194.0
2026-07-23T08:02:00Z,billing-api,webhook_confirmation_p99_ms,290.5
2026-07-23T08:02:00Z,billing-api,webhook_retry_queue_depth,3.7144
2026-07-23T08:02:00Z,partner-sync-worker,records_processed_per_min,253.9
2026-07-23T08:02:00Z,partner-sync-worker,sync_backlog_depth,21.1
2026-07-23T08:02:00Z,partner-sync-worker,sync_lag_s,5.4659
2026-07-23T08:02:00Z,webhook-dispatcher,container_memory_rss_mb,471.8
2026-07-23T08:02:00Z,webhook-dispatcher,tcp_new_conns_per_s,10.8
2026-07-23T08:02:00Z,webhook-dispatcher,tls_handshake_p95_ms,17.8
2026-07-23T08:02:00Z,webhook-dispatcher,webhook_dispatch_p95_ms,190.3
2026-07-23T08:03:00Z,billing-api,webhook_confirmation_p99_ms,295.4
2026-07-23T08:03:00Z,billing-api,webhook_retry_queue_depth,4.2608
2026-07-23T08:03:00Z,partner-sync-worker,records_processed_per_min,231.6
2026-07-23T08:03:00Z,partner-sync-worker,sync_backlog_depth,20.0
2026-07-23T08:03:00Z,partner-sync-worker,sync_lag_s,6.7943
2026-07-23T08:03:00Z,webhook-dispatcher,container_memory_rss_mb,489.1
2026-07-23T08:03:00Z,webhook-dispatcher,tcp_new_conns_per_s,11.0
2026-07-23T08:03:00Z,webhook-dispatcher,tls_handshake_p95_ms,17.0
2026-07-23T08:03:00Z,webhook-dispatcher,webhook_dispatch_p95_ms,188.4
2026-07-23T08:04:00Z,billing-api,webhook_confirmation_p99_ms,294.0
2026-07-23T08:04:00Z,billing-api,webhook_retry_queue_depth,3.9036
2026-07-23T08:04:00Z,partner-sync-worker,records_processed_per_min,222.2
2026-07-23T08:04:00Z,partner-sync-worker,sync_backlog_depth,19.7
2026-07-23T08:04:00Z,partner-sync-worker,sync_lag_s,6.2596
2026-07-23T08:04:00Z,webhook-dispatcher,container_memory_rss_mb,485.4
2026-07-23T08:04:00Z,webhook-dispatcher,tcp_new_conns_per_s,12.2
2026-07-23T08:04:00Z,webhook-dispatcher,tls_handshake_p95_ms,16.9
2026-07-23T08:04:00Z,webhook-dispatcher,webhook_dispatch_p95_ms,179.2
2026-07-23T08:05:00Z,billing-api,webhook_confirmation_p99_ms,289.0
2026-07-23T08:05:00Z,billing-api,webhook_retry_queue_depth,4.3811
2026-07-23T08:05:00Z,partner-sync-worker,records_processed_per_min,261.3
2026-07-23T08:05:00Z,partner-sync-worker,sync_backlog_depth,18.7
2026-07-23T08:05:00Z,partner-sync-worker,sync_lag_s,5.5201
2026-07-23T08:05:00Z,webhook-dispatcher,container_memory_rss_mb,483.6
2026-07-23T08:05:00Z,webhook-dispatcher,tcp_new_conns_per_s,11.6
2026-07-23T08:05:00Z,webhook-dispatcher,tls_handshake_p95_ms,16.7
2026-07-23T08:05:00Z,webhook-dispatcher,webhook_dispatch_p95_ms,195.2
2026-07-23T08:06:00Z,billing-api,webhook_confirmation_p99_ms,299.2
2026-07-23T08:06:00Z,billing-api,webhook_retry_queue_depth,3.8986
2026-07-23T08:06:00Z,partner-sync-worker,records_processed_per_min,219.8
2026-07-23T08:06:00Z,partner-sync-worker,sync_backlog_depth,21.3
2026-07-23T08:06:00Z,partner-sync-worker,sync_lag_s,5.1384
2026-07-23T08:06:00Z,webhook-dispatcher,container_memory_rss_mb,478.2
2026-07-23T08:06:00Z,webhook-dispatcher,tcp_new_conns_per_s,11.8
2026-07-23T08:06:00Z,webhook-dispatcher,tls_handshake_p95_ms,17.6
2026-07-23T08:06:00Z,webhook-dispatcher,webhook_dispatch_p95_ms,197.4
